close,open,volume,MACD,ATR,USDollarIndex,FederalFundRate
1087.24,1098.31,874070656.00,5.87,18.73,75.67,0.12
1093.48,1087.59,811154496.00,6.12,17.73,75.29,0.12
1109.30,1094.13,965469952.00,7.89,18.32,74.90,0.12
1110.32,1109.22,791440448.00,8.61,17.40,75.28,0.12
1109.80,1109.44,878627968.00,8.43,16.28,75.06,0.11
1094.90,1106.44,972201472.00,5.83,15.47,75.26,0.11
1091.38,1094.66,1051591872.00,3.29,14.42,75.60,0.11
1106.24,1094.86,823985152.00,3.27,15.03,75.13,0.12
1105.65,1105.83,800952064.00,2.83,14.61,75.11,0.12
1110.63,1106.49,634005120.00,2.88,13.63,74.26,0.11
1091.49,1105.47,551489408.00,0.13,14.68,74.90,0.12
1095.63,1091.07,1076264192.00,-1.25,13.76,74.81,0.13
1108.86,1098.89,927180864.00,-0.55,14.30,74.44,0.13
1109.24,1109.03,826777152.00,-0.20,14.15,74.63,0.13
1099.92,1110.59,976393600.00,-1.34,14.26,74.80,0.13
1105.98,1100.43,1326190848.00,-1.39,14.98,75.77,0.12
1103.25,1105.52,889871296.00,-1.86,14.25,75.75,0.12
1091.94,1103.04,985716544.00,-3.67,14.70,76.22,0.12
1095.95,1091.07,898626752.00,-4.26,14.89,76.01,0.12
1102.35,1098.69,893887744.00,-3.73,14.10,76.01,0.12
1106.41,1103.96,806473280.00,-2.83,14.03,76.53,0.12
1114.11,1107.84,898328960.00,-1.27,13.13,76.32,0.12
1107.93,1114.11,997663040.00,-1.14,13.05,76.91,0.13
1109.18,1108.61,1023580928.00,-0.97,13.18,76.90,0.14
1096.08,1106.36,1542894720.00,-2.61,12.21,77.75,0.13
1102.47,1097.86,2758025984.00,-2.81,12.13,77.71,0.12
1114.05,1105.31,834412736.00,-1.42,12.02,78.08,0.12
1118.02,1114.51,734781120.00,-0.07,11.73,78.28,0.12
1120.59,1118.84,615461952.00,0.99,10.81,77.88,0.11
1126.48,1121.08,258246672.00,2.24,9.61,77.73,0.11
1127.78,1127.53,553308928.00,2.96,9.40,77.65,0.12
1126.20,1128.55,479079008.00,2.93,8.66,77.83,0.12
1126.42,1125.53,499677664.00,2.65,8.18,77.89,0.11
1115.10,1126.60,546385152.00,0.76,8.36,77.92,0.05
1132.99,1116.56,820241408.00,1.68,9.19,77.51,0.12
1136.52,1132.66,974392128.00,2.47,9.09,77.63,0.12
1137.14,1135.71,915386624.00,2.77,8.84,77.47,0.12
1141.69,1136.27,1046752704.00,3.24,9.05,77.99,0.10
1144.98,1140.52,861205824.00,3.63,8.75,77.48,0.11
1146.98,1145.96,800659072.00,3.76,8.60,77.02,0.11
1136.22,1143.81,955995328.00,2.10,8.60,77.00,0.11
