ClosePrice,OpenPrice,Volume,MACD,ATR,USDollarIndex,FederalFundRate,label
1044.14,1032.99,519138,12.35858844,16.1,76.82,0.16,1042.73
1042.73,1043.92,492260,13.20797392,9.78,76.73,0.15,1049.34
1049.34,1040.15,497961,14.25022211,14.74,76.63,0.16,1052.63
1052.63,1049.03,618562,15.16685277,12.62,76.51,0.17,1068.76
1068.76,1053.99,679352.96,16.99889272,16.13,76.25,0.17,1065.49
1065.49,1067.87,666811,17.97967737,13.57,76.2,0.16,1068.3
1068.3,1066.6,560797,18.76736133,7.25,76.44,0.16,1064.66
1064.66,1067.14,461528,18.88024921,10.84,76.75,0.15,1071.66
1071.66,1066.35,524660,19.31193915,9.15,76.11,0.15,1060.87
1060.87,1072.69,553193,18.56933794,19.76,76.54,0.15,1050.78
1050.78,1062.56,550561,16.97101121,20.44,76.87,0.14,1044.38
1044.38,1049.48,450709,15.01481777,12.3,76.68,0.13,1062.98
1062.98,1045.38,372695,14.79483924,20.75,76.93,0.13,1060.61
1060.61,1063.69,494990,14.2648294,11.79,77.06,0.11,1057.08
1057.08,1061.02,599886,13.40542192,16.93,76.7,0.07,1029.85
1029.85,1054.91,579145,10.4071349,27.63,77.18,0.11,1025.21
1025.21,1029.71,558324,7.569307353,10.65,77.03,0.13,1040.46
1040.46,1026.87,431331,6.476202494,17.37,76.7,0.13,1054.72
1054.72,1042.02,502984,6.683528288,20.09,76.29,0.12,1057.58
1057.58,1053.65,423822,6.997945611,7.92,76.4,0.13,1065.48
1065.48,1060.03,498840,7.794734732,13.09,75.9,0.12,1071.49
1071.49,1065.28,376378,8.809601026,8.51,76.34,0.12,1076.19
1076.19,1071.63,371043,9.879258652,7.97,76.16,0.12,1073.19
1073.19,1074.96,432048,10.36540912,9.48,75.82,0.12,1092.02
1092.02,1078.68,540642,12.13028017,19.98,75.46,0.12,1096.56
1096.56,1090.36,536978,13.73694234,10.15,75.45,0.13,1087.68
1087.68,1094.67,489474,14.13080082,15.03,75.58,0.12,1097.91
1097.91,1088.22,461924,15.094413,13.69,75.23,0.12,1091.06
1091.06,1098.64,539693,15.13092497,12.48,75.51,0.12,1081.4
1081.4,1090.36,561629,14.21650073,20.59,75.12,0.11,1092.91
1092.91,1080.96,519241,14.25623671,20.9,75.09,0.11,1079.6
1079.6,1095.62,476746,13.06313827,20.34,75.45,0.11,1066.95
1066.95,1080.36,636338,10.97039006,26.52,76.03,0.11,1063.41
1063.41,1067.54,533738,8.923360661,11.86,76.14,0.11,1042.63
1042.63,1061.51,660035,5.560208161,21.22,76.44,0.11,1066.11
1066.11,1043.69,559504,4.734943859,24.2,75.94,0.11,1036.19
1036.19,1065.41,651242,1.647629162,32.73,76.39,0.11,1042.88
1042.88,1036.18,620264,-0.256308326,22.8,76.04,0.12,1045.41
1045.41,1040.92,548750,-1.543252987,12.42,76.28,0.12,1046.5
1046.5,1047.14,563551,-2.447004468,15.85,75.78,0.13,1066.63
1066.63,1047.3,484835,-1.52137381,20.15,75.73,0.13,1069.3
1069.3,1064.95,427713,-0.56583556,12.16,75.77,0.12,1093.08
1093.08,1072.31,446003,2.086233845,23.89,75.04,0.12,1093.01
1093.01,1091.86,439477,4.13470721,9.02,74.99,0.13,1098.51
1098.51,1096.04,428670,6.131263753,12.36,75.07,0.13,1087.24
1087.24,1098.31,416025,6.726614163,17.07,75.67,0.12,1093.48
1093.48,1087.59,379261,7.614177999,12.46,75.29,0.12,1109.3
1109.3,1094.13,456585,9.484785813,20.21,74.9,0.12,1110.32
1110.32,1109.22,382407,10.92364053,8.33,75.28,0.12,1109.8
1109.8,1109.44,429334,11.88498094,8.4,75.06,0.11,1094.9
1094.9,1106.44,417803,11.31412251,21.4,75.26,0.11,1091.38
1091.38,1094.66,375123,10.45713516,8.09,75.6,0.11,1106.24
1106.24,1094.86,382792,10.8519498,21,75.13,0.12,1105.65
1105.65,1105.83,370082,10.99054304,9.93,75.11,0.12,1110.63
1110.63,1106.49,303635,11.37114409,6.43,74.26,0.11,1091.49
1091.49,1105.47,236291,10.0129125,26.89,74.9,0.12,1095.63
1095.63,1091.07,389552,9.164920088,10.99,74.81,0.13,1108.86
1108.86,1098.89,424931,9.45147965,16.65,74.44,0.13,1109.24
1109.24,1109.03,394134,9.598596347,10.29,74.63,0.13,1099.92
1099.92,1110.59,481003,8.86099722,18.54,74.8,0.13,1105.98
1105.98,1100.43,578114,8.665544945,22.61,75.77,0.12,1103.25
1103.25,1105.52,410336,8.195882393,9.89,75.75,0.12,1091.94
1091.94,1103.04,474803,6.832290566,14.64,76.22,0.12,1095.95
1095.95,1091.07,411541,6.00597457,11.15,76.01,0.12,1102.35
1102.35,1098.69,399649,5.800673153,10.3,76.01,0.12,1106.41
1106.41,1103.96,379109,5.897594571,7.16,76.53,0.12,1114.11
1114.11,1107.84,454849,6.520566115,8.35,76.32,0.12,1107.93
1107.93,1114.11,504510,6.441349334,8.76,76.91,0.13,1109.18
1109.18,1108.61,482982,6.405594314,8.28,76.9,0.14,1096.08
1096.08,1106.36,761507.04,5.259568651,13.3,77.75,0.13,1102.47
1102.47,1097.86,632589,4.811490782,9.86,77.71,0.12,1114.05
1114.05,1105.31,397734,5.329361503,15.21,78.08,0.12,1118.02
1118.02,1114.51,364113,5.991062363,6.22,78.28,0.12,1120.59
1120.59,1118.84,316687,6.646228994,5.58,77.88,0.11,1126.48
1126.48,1121.08,126771,7.553653231,5.89,77.73,0.11,1127.78
1127.78,1127.53,271640,8.282220332,6.87,77.65,0.12,1126.2
1126.2,1128.55,249102,8.632610849,4.3,77.83,0.12,1126.42
1126.42,1125.53,227730,8.82630586,4.48,77.89,0.11,1115.1
1115.1,1126.6,207699,7.974456585,12.83,77.92,0.05,1132.99
1132.99,1116.56,399140,8.643298816,18.77,77.51,0.12,1136.52
1136.52,1132.66,249102,9.350416816,6.97,77.63,0.12,1137.14
1137.14,1135.71,497266,9.847327879,5.24,77.47,0.12,1141.69
1141.69,1136.27,527068,10.48738837,11.14,77.99,0.1,1144.98
1144.98,1140.52,438959,11.131796,9.17,77.48,0.11,1146.98
1146.98,1145.96,425578,11.66935986,7.72,77.02,0.11,1136.22
1136.22,1143.81,471616,11.0991964,15.21,77,0.11,1145.68
1145.68,1137.31,417036,11.28064443,15.22,76.84,0.11,1148.46
1148.46,1145.68,391520,11.5160166,6.61,76.76,0.11,1136.03
1136.03,1147.72,475873,10.57762139,17.07,77.2,0.12,1150.23
1150.23,1136.03,472483,10.85463231,14.68,77.53,0.13,1138.04
1138.04,1147.95,481056,9.975542487,20.98,78.36,0.13,1116.48
1116.48,1138.68,687428.96,7.453229464,26.74,78.43,0.12,1091.76
1091.76,1115.49,620865,3.420155393,26.3,78.27,0.11,1096.78
1096.78,1092.4,448139,0.621819235,11.21,78.2,0.12,1092.17
