close,open,volume,MACD,ATR,USDollarIndex,TIBOR
9752.88,9914.40,1745953920.00,-2.82,137.36,80.75,0.19
9840.85,9705.73,1794125696.00,-27.22,137.40,80.29,0.19
9703.72,9778.35,1686739840.00,-62.85,144.18,80.58,0.19
9786.26,9757.85,1748546560.00,-75.47,138.37,80.36,0.19
9826.27,9788.07,1498636672.00,-78.26,138.95,80.84,0.19
9549.61,9695.76,1855960192.00,-114.98,156.42,79.85,0.19
9590.32,9596.78,1530544256.00,-130.28,156.50,80.54,0.19
9796.08,9628.18,1611853824.00,-109.99,168.99,80.34,0.19
9877.39,9852.92,1358146048.00,-84.08,165.63,79.90,0.19
9783.47,9866.28,1601506560.00,-78.18,171.72,79.90,0.19
9958.44,9896.56,1432591744.00,-50.65,172.59,80.16,0.19
9939.93,9889.34,1581323392.00,-35.56,183.23,79.61,0.19
9876.15,9993.77,1416868608.00,-34.78,178.56,80.55,0.18
9816.07,9751.69,1270778240.00,-42.44,184.19,80.41,0.18
9680.87,9738.49,1097569792.00,-64.49,175.51,80.38,0.18
9647.79,9713.62,1428304256.00,-81.22,173.73,80.70,0.18
9420.75,9548.81,1478755584.00,-118.31,177.21,80.66,0.18
9291.06,9342.33,1483913600.00,-153.52,177.97,79.91,0.18
9287.28,9338.76,1513652224.00,-169.28,176.62,80.32,0.18
9050.33,9242.13,1687851520.00,-201.41,175.10,80.06,0.18
9261.81,9173.14,1679808256.00,-184.41,185.38,80.03,0.18
9269.25,9307.45,1695996672.00,-163.14,171.24,79.40,0.18
9344.16,9393.98,1784302336.00,-131.32,179.91,79.24,0.18
9395.32,9413.86,1221430784.00,-97.29,171.43,79.48,0.18
9652.02,9512.52,1513401600.00,-37.20,174.28,78.83,0.18
9723.16,9642.79,1537501184.00,12.48,169.26,78.79,0.18
9792.94,9712.10,1718033920.00,52.81,171.63,79.03,0.18
9944.55,9909.40,2054887424.00,95.51,169.64,78.84,0.18
10088.66,10020.87,1611754624.00,136.27,174.62,78.63,0.18
10087.26,10116.89,1384889856.00,154.80,171.23,78.86,0.18
10113.24,10035.91,1467347072.00,161.57,163.10,79.52,0.18
10165.21,10155.71,1474283136.00,163.56,161.14,79.33,0.18
10356.83,10275.14,1827289600.00,179.89,167.49,78.35,0.18
10352.47,10355.23,1619705984.00,178.95,150.71,77.57,0.18
10375.01,10438.40,1754252416.00,170.24,143.04,77.72,0.18
10252.53,10405.05,1345537280.00,138.23,148.09,77.57,0.18
10388.09,10266.01,1464668544.00,125.91,144.74,78.00,0.18
10412.09,10365.71,1405288832.00,112.05,150.93,78.90,0.18
10524.26,10530.62,1478293888.00,108.96,144.97,79.18,0.18
10585.46,10514.74,1352748416.00,106.01,140.21,79.17,0.18
10435.00,10486.36,1240550528.00,76.06,139.77,78.84,0.18
10517.19,10508.09,1259015808.00,60.28,137.21,78.44,0.18
10597.33,10551.33,1425584384.00,53.80,128.51,78.72,0.18
10268.61,10521.02,1340407552.00,1.18,147.18,79.34,0.18
10284.96,10208.12,1266498176.00,-33.55,148.46,78.98,0.18
10204.00,10269.97,1380755456.00,-67.60,150.60,78.48,0.18
10383.41,10254.53,1369730176.00,-66.05,151.27,78.43,0.18
10238.20,10375.22,1542726784.00,-83.55,164.32,78.08,0.18
10581.05,10389.57,1224756096.00,-49.58,180.47,78.24,0.18
10497.36,10515.57,1269551744.00,-39.47,177.45,78.29,0.18
10639.71,10554.44,1320627840.00,-15.90,177.29,78.66,0.18
10473.97,10570.78,1387416960.00,-24.42,182.71,78.11,0.18
10534.14,10546.88,1302359168.00,-23.71,176.68,78.31,0.18
10492.53,10608.16,1523947008.00,-30.20,195.81,78.16,0.18
10530.06,10453.37,1144949376.00,-30.68,194.91,78.74,0.18
10280.46,10378.08,1381191168.00,-63.95,208.71,78.42,0.18
10214.64,10240.02,1175274240.00,-92.43,208.15,78.43,0.18
10187.11,10256.49,1312701952.00,-111.31,192.76,78.19,0.18
10320.94,10288.56,971024320.00,-102.34,192.43,77.99,0.18
10393.23,10353.51,1180292352.00,-84.00,189.62,77.28,0.18
10312.14,10343.80,1408310912.00,-80.14,185.40,77.08,0.18
10513.67,10385.35,1333824512.00,-49.30,183.10,76.82,0.18
10444.33,10519.33,1892531456.00,-37.63,166.06,76.73,0.18
10202.06,10388.32,1217912448.00,-60.57,177.65,76.63,0.18
10217.62,10255.73,1012709952.00,-70.95,173.20,76.51,0.18
10270.77,10288.72,1367667968.00,-67.96,168.78,76.25,0.18
10443.80,10373.25,1446954880.00,-41.29,174.79,76.20,0.21
10370.54,10379.21,1745463040.00,-32.52,161.09,76.44,0.21
10544.22,10405.53,1683671936.00,-3.83,165.22,76.87,0.21
10265.98,10395.45,1416390272.00,-21.83,165.30,76.68,0.21
10009.52,10136.24,1592977408.00,-65.33,178.84,76.93,0.21
10100.20,10089.11,1356935808.00,-78.07,179.06,77.06,0.20
10133.23,10105.17,1210571520.00,-78.04,174.42,76.70,0.20
9978.64,10072.64,1348782592.00,-93.78,179.81,77.18,0.19
9731.87,9848.07,1652055552.00,-130.14,188.40,77.03,0.19
9674.49,9733.07,1450419200.00,-153.03,179.35,76.70,0.19
9691.80,9744.42,1547088000.00,-156.41,179.45,76.29,0.19
9799.60,9750.24,1755964928.00,-135.48,169.19,76.40,0.19
9832.47,9806.03,1392373120.00,-109.65,169.77,75.90,0.19
10016.39,9893.63,1548708224.00,-62.58,170.27,76.34,0.19
10076.56,10066.85,1325179648.00,-20.33,165.07,75.82,0.19
10060.21,10096.01,1620888832.00,6.98,159.96,75.46,0.19
10238.65,10194.91,1484422144.00,48.34,161.10,75.45,0.19
10257.56,10276.40,1524359680.00,75.85,143.86,75.58,0.19
10236.51,10179.46,1395535872.00,87.98,132.73,75.23,0.19
10336.84,10329.30,1391715840.00,105.13,133.06,75.51,0.19
10333.39,10292.39,1333730304.00,111.02,131.90,75.12,0.19
10267.17,10251.09,1543689856.00,101.30,132.30,75.09,0.19
10282.99,10335.34,1468252160.00,92.53,120.34,75.45,0.19
10362.62,10271.84,1275535744.00,92.76,124.95,76.03,0.19
10212.46,10283.46,1433236224.00,69.08,128.16,76.14,0.19
10075.05,10182.14,1349034240.00,33.11,129.74,76.44,0.19
9891.10,9941.57,2038294784.00,-14.68,137.44,75.94,0.19
10034.74,10006.84,1456278784.00,-25.53,135.62,76.39,0.19
9802.95,9903.77,1284652416.00,-60.52,149.78,76.04,0.19
9844.31,9785.28,1193117952.00,-73.80,149.59,75.78,0.19
9717.44,9803.50,1471436672.00,-94.09,145.32,75.73,0.19
9789.35,9812.73,1414636288.00,-92.12,149.47,75.77,0.19
