close,open,volume,MACD,ATR,close,close
3083.9,3036.4,11150673400,14.43,60.87,79.85,0.96
3120.73,3079.5,10942431300,16.31,60.27,80.54,0.96
3117.92,3125.66,8280688700,14.83,60.22,80.34,0.96
3128.42,3126.23,7050090800,12.99,57.51,79.9,0.96
3179.97,3132.11,8499707500,16.22,56.94,79.9,1
3166.47,3191.64,8678234700,14.13,57.01,80.16,1.09
3237.9,3153.54,9695056500,19.62,59.76,79.61,1.1
3282.36,3248.2,11298929400,26.09,56.45,80.55,1.1
3327.14,3254.93,10573259200,32.8,57.13,80.41,1.1
3374.75,3333.1,13526404900,39.62,57.17,80.38,1.09
3340.49,3368.33,12960079900,35.59,55.67,80.7,1.09
3352.27,3306.43,11386759200,30.78,59.64,80.66,1.1
3396.3,3348.22,11308152300,29.77,61.23,79.91,1.1
3398.31,3398.91,10617491200,25.77,61.84,80.32,1.1
3361.01,3382.57,9961965100,15.03,57.92,80.06,1.14
3454.75,3375.87,10752042500,17.31,60.83,80.03,1.14
3493.31,3467.13,13348300200,20.56,61.22,79.4,1.15
3501.24,3516.78,12931332900,20.28,63.06,79.24,1.19
3519.81,3499.51,10654970400,19.13,61.94,79.48,1.38
3591.12,3532.52,13646853900,24.17,65.03,78.85,1.36
3539.83,3603.4,13060096100,17.13,64.24,78.83,1.5
3606.92,3532.63,11523854600,17.95,66.23,78.79,1.5
3651.97,3613.6,11638160900,20.8,64.72,79.03,1.49
3667.56,3672.21,12797935200,20.97,67.92,78.84,1.46
3743.63,3680.15,13880804000,27.12,68.69,78.63,1.44
3755.82,3745.55,14626788500,28.49,64.76,78.86,1.41
3558.51,3741.78,16740612600,-0.02,82.63,79.52,1.24
3634.82,3587.05,13496887900,-10.85,89.31,79.33,1.35
3734.62,3670.19,13223983400,-6.99,93.29,78.35,1.3
3787.03,3754.22,13641589900,-0.17,91.84,77.57,1.32
3786.62,3803.06,14103573900,1.41,95.26,77.72,1.32
3740.94,3781.4,13344445300,-6.15,98.38,77.57,1.32
3663.12,3707.91,11810152500,-23.14,105.08,78,1.32
3555.1,3655.46,10057575100,-48.96,109.9,78.9,1.32
3544.54,3589.72,8487068100,-66.39,113.54,79.18,1.31
3556.38,3558.65,6449719700,-74.65,112.43,79.17,1.3
3397.4,3546.5,9253538600,-98.36,120.18,78.84,1.15
3440.82,3398.89,8708180000,-104.45,121.21,78.44,1.16
3344.46,3437.95,8824862700,-116.78,124.32,78.72,1.15
3140.27,3283.44,9172390200,-145.88,135.41,79.34,1.16
3171.99,3110.71,7734303500,-153.51,120.52,78.98,1.13
3014.57,3178.28,8160402000,-171.09,124.46,78.48,1.1
3144.39,3021.25,7951921600,-156.91,126.68,78.43,1.09
3203.62,3135.37,8661680500,-132.24,129.11,78.08,1.09
3229.6,3222.4,8041406800,-106.22,127.12,78.24,1.06
3109.83,3210.85,9753013900,-99.09,135.21,78.29,0.99
3172.39,3082.68,8203640400,-80.66,135.21,78.66,1
3156.3,3149.57,8012520100,-65.98,131.53,78.11,1.01
3046.78,3152.04,8401794600,-66.19,132.2,78.31,1.01
2830.27,3003.54,8451731100,-89.22,143.74,78.16,1
2843.7,2804.58,7053530600,-95.81,139.44,78.74,1
2890.93,2824.64,6084338600,-87.21,138.1,78.42,1.08
3051.96,2898.45,9315744700,-54.81,141.58,78.43,1.09
3077.14,3055.35,8698471500,-26.41,131.11,78.19,1.1
3104.21,3097.79,8279074000,-1.71,129.15,77.99,1.1
3170.97,3084.2,8396563400,24.45,123.64,77.28,1.1
3194.91,3188.31,9119115500,44.64,118.76,77.08,1.09
3162.91,3179.19,6656600700,52.78,114.94,76.82,1.09
3238.13,3152.82,8068966000,66.5,117.66,76.73,1.09
3293.39,3248.35,8739388300,80.31,106.96,76.63,1.09
3302.64,3298.81,8709217700,87.39,101.42,76.51,1.13
3258.24,3290.39,8824448100,82.84,101.05,76.25,1.19
3320.1,3274.58,9133340400,84.61,96.3,76.2,1.25
3199.69,3325.06,10048840400,66.79,91.9,76.44,1.26
3208.6,3163.51,7280197400,53.98,92.92,76.75,1.26
3131.03,3196.01,7342510100,33.82,93.99,76.11,1.27
3060.07,3130.14,6601371600,10.87,90.33,76.54,1.29
3080.93,3041.82,6515210200,-0.92,95.5,76.87,1.3
3058.53,3057.11,4582049200,-10.62,94.47,76.68,1.31
2972.64,3066.37,4191835200,-26.58,94.81,76.93,1.31
2972.29,2975.53,4593235200,-34.65,95.59,77.06,1.32
3004.81,2992.98,4218452400,-33.08,96.13,76.7,1.77
3163.71,3078.75,5687104000,-9.34,100.3,76.34,1.69
3151.63,3181.58,5896196000,5.25,98.99,76.16,1.27
3198.52,3144.02,5071370400,20.85,98.89,75.82,1.26
3227.4,3209.07,8097812000,33.93,98.02,75.46,1.26
3239.64,3258.55,6056201000,42.53,97.28,75.45,1.26
3241.71,3250.1,5563625500,46.48,91.6,75.58,1.26
3329.16,3238.85,7768314300,58.11,90.1,75.23,1.26
3377.57,3355.36,8942627800,68.81,86.12,75.51,1.23
3369.29,3375.03,8348894000,70.99,81.71,75.12,1.2
3347.32,3364.15,6093658300,65.8,75.07,75.09,1.19
3413.25,3354.98,8672542900,67.33,77.02,75.45,1.19
3414.24,3421.7,6844252400,64.56,71.25,76.03,1.18
3314.72,3384.29,7420955100,46.25,73.05,76.14,1.15
3329.33,3303.77,6259484900,33.63,74.3,76.44,1.14
3247.05,3265.19,6130535400,12.79,69.38,75.94,1.14
3280.37,3305.38,6064706200,2.62,72.24,76.39,1.14
3392.8,3205.84,8198115800,9.76,82.03,76.04,1.14
3435.43,3402.53,8379109800,18.45,80.36,76.28,1.14
3453.89,3443.52,8606527300,24.52,80.4,75.78,1.14
3464.32,3458.87,8064778400,27.55,77.52,75.73,1.21
3483.02,3491.08,9219031500,29.51,73.43,75.77,1.21
3495.79,3487.11,7805090400,29.88,72.91,75.04,1.21
3503.78,3520.4,8430098700,28.54,71.5,74.99,1.23
3495.67,3500.59,7262632100,24.09,71.95,75.07,1.23
3499.99,3506.95,7996266100,19.46,68.54,75.67,1.23
3518.72,3489.54,9121017100,16.74,70.41,75.29,1.22
3625.8,3541.05,12315732300,26.61,70.92,74.9,1.21
3628.35,3644.96,9739136800,30.45,67.39,75.28,1.2
3630.23,3633.85,8922628300,30.15,63.8,75.06,1.19
3642.44,3638.07,9494009500,28.52,61.43,75.26,1.19
3631.01,3630.58,9475075100,23.06,51.75,75.6,1.19
3665.51,3636.53,9399094100,21.3,50.56,75.13,1.19
3548.08,3680.75,14756682200,2.51,57.57,75.11,1.19
3629.63,3541.51,11460232900,-0.58,63.48,74.26,1.19
3485.77,3635.79,12788237900,-22.44,72.9,74.77,1.19
3382.51,3440.34,8929468800,-49.68,78.27,74.9,1.19
3511.67,3415.08,8441534100,-49.08,84.91,74.81,1.19
3560.83,3507.56,10151863900,-41.18,87.43,74.44,1.25
3597.33,3578.87,9805203300,-30.62,87.81,74.63,1.25
3590.88,3596.95,8997857200,-24.37,86.24,74.8,1.23
3643.49,3581.63,13413090100,-13.55,86.89,75.77,1.22
3668.83,3644.63,9122554600,-3.89,87.6,75.75,1.21
3624.02,3670.81,8294086400,-4.4,90.46,76.22,1.21
3554.48,3579.28,6852150700,-14.41,92.7,76.01,1.2
3577.24,3579.83,5756373800,-18.03,92.38,76.01,1.19
3575.02,3589.41,5455091200,-20.61,92.97,76.53,1.18
3612.75,3572.53,8378502100,-17.25,90.71,76.32,1.17
3583.34,3594.51,6918649300,-18.88,84.98,76.91,1.17
